5 Trails,10 Trails,50 Trails,100 Trails,250 Trails
3,2,3,2,2
3,3,2,2,3
15,3,2,2,2
3,3,40,2,2
15,3,3,2,40
"",3,3,2,2
"",3,3,2,2
"",3,2,2,3
"",3,3,2,2
"",3,2,2,3
"","",2,3,3
"","",3,2,3
"","",2,2,2
"","",3,2,2
"","",2,2,3
"","",2,2,2
"","",3,2,3
"","",3,2,3
"","",2,2,2
"","",3,15,3
"","",2,2,2
"","",2,40,2
"","",2,3,2
"","",2,15,2
"","",2,3,2
"","",3,2,3
"","",2,2,2
"","",2,2,2
"","",2,2,3
"","",3,2,3
"","",2,15,3
"","",3,3,3
"","",2,3,3
"","",2,3,3
"","",15,3,2
"","",3,3,3
"","",2,2,2
"","",15,2,3
"","",3,2,2
"","",3,3,2
"","",3,2,2
"","",2,2,3
"","",3,3,2
"","",2,40,2
"","",3,2,3
"","",3,2,2
"","",15,3,3
"","",40,3,2
"","",2,3,3
"","",2,3,2
"","","",3,3
"","","",2,2
"","","",3,3
"","","",2,2
"","","",2,3
"","","",15,15
"","","",2,2
"","","",2,2
"","","",2,3
"","","",3,3
"","","",3,2
"","","",15,3
"","","",2,2
"","","",2,2
"","","",3,3
"","","",2,2
"","","",2,3
"","","",3,2
"","","",15,3
"","","",3,2
"","","",3,15
"","","",3,2
"","","",3,2
"","","",3,3
"","","",15,2
"","","",3,2
"","","",2,3
"","","",2,2
"","","",2,2
"","","",3,3
"","","",3,3
"","","",3,2
"","","",2,3
"","","",2,2
"","","",3,3
"","","",2,3
"","","",2,15
"","","",15,3
"","","",2,2
"","","",3,2
"","","",3,3
"","","",2,3
"","","",2,2
"","","",2,3
"","","",2,2
"","","",15,3
"","","",3,3
"","","",3,3
"","","",3,2
"","","",15,2
"","","","",3
"","","","",3
"","","","",3
"","","","",3
"","","","",3
"","","","",2
"","","","",3
"","","","",2
"","","","",3
"","","","",3
"","","","",3
"","","","",2
"","","","",2
"","","","",2
"","","","",2
"","","","",2
"","","","",3
"","","","",2
"","","","",2
"","","","",2
"","","","",3
"","","","",2
"","","","",2
"","","","",40
"","","","",2
"","","","",3
"","","","",2
"","","","",3
"","","","",15
"","","","",3
"","","","",3
"","","","",3
"","","","",2
"","","","",15
"","","","",3
"","","","",3
"","","","",2
"","","","",2
"","","","",2
"","","","",40
"","","","",2
"","","","",2
"","","","",3
"","","","",3
"","","","",3
"","","","",3
"","","","",3
"","","","",3
"","","","",3
"","","","",3
"","","","",15
"","","","",2
"","","","",2
"","","","",2
"","","","",3
"","","","",3
"","","","",2
"","","","",3
"","","","",3
"","","","",3
"","","","",3
"","","","",3
"","","","",3
"","","","",2
"","","","",2
"","","","",3
"","","","",3
"","","","",3
"","","","",15
"","","","",3
"","","","",3
"","","","",3
"","","","",3
"","","","",2
"","","","",15
"","","","",2
"","","","",3
"","","","",3
"","","","",2
"","","","",2
"","","","",3
"","","","",3
"","","","",2
"","","","",2
"","","","",2
"","","","",3
"","","","",3
"","","","",2
"","","","",3
"","","","",40
"","","","",3
"","","","",3
"","","","",3
"","","","",3
"","","","",3
"","","","",3
"","","","",2
"","","","",3
"","","","",15
"","","","",15
"","","","",3
"","","","",2
"","","","",15
"","","","",40
"","","","",3
"","","","",3
"","","","",2
"","","","",3
"","","","",2
"","","","",2
"","","","",15
"","","","",3
"","","","",3
"","","","",2
"","","","",2
"","","","",3
"","","","",3
"","","","",3
"","","","",3
"","","","",3
"","","","",3
"","","","",15
"","","","",2
"","","","",3
"","","","",2
"","","","",3
"","","","",3
"","","","",2
"","","","",2
"","","","",2
"","","","",3
"","","","",3
"","","","",3
"","","","",2
"","","","",15
"","","","",3
"","","","",3
"","","","",3
"","","","",2
"","","","",3
"","","","",3
"","","","",3
"","","","",3
"","","","",2
"","","","",2
"","","","",40
"","","","",2
"","","","",3
"","","","",2
"","","","",2